cliente_id,nombre,email,ciudad,pais,fecha_registro
C001,Clotilde Moll-Zamorano,clotilde.moll-zamorano@email.com,La Paz,Bolivia,2025-08-29
C002,Rodrigo Villa Sevillano,rodrigo.villa.sevillano@email.com,Cochabamba,Bolivia,2023-07-08
C003,Odalys Jaén Rozas,odalys.jaen.rozas@email.com,Córdoba,Argentina,2024-05-12
C004,Marcio Cáceres Vergara,marcio.caceres.vergara@email.com,Lima,Perú,2024-05-04
C005,Oriana Requena,oriana.requena@email.com,Valparaíso,Chile,2025-02-25
C006,Nayara Ferrán Nogueira,nayara.ferran.nogueira@email.com,La Paz,Bolivia,2025-12-11
C007,Inocencio Solís Poza,inocencio.solis.poza@email.com,Córdoba,Argentina,2023-09-26
C008,Trinidad Pereira Roura,trinidad.pereira.roura@email.com,Cali,Colombia,2024-02-25
C009,Vera Rincón Perelló,vera.rincon.perello@email.com,Lima,Perú,2023-08-24
C010,Patricia Cazorla Escribano,patricia.cazorla.escribano@email.com,Ciudad de México,México,2025-05-04
C011,Darío Gallo-Enríquez,dario.gallo-enriquez@email.com,Valparaíso,Chile,2024-06-29
C012,Encarnacion Velázquez-Marquez,encarnacion.velazquez-marquez@email.com,Concepción,Chile,2025-09-28
C013,Galo Estevez Lucena,galo.estevez.lucena@email.com,Bogotá,Colombia,2024-02-09
C014,Cloe Leal Montenegro,cloe.leal.montenegro@email.com,Medellín,Colombia,2025-11-23
C015,Atilio Bilbao Frías,atilio.bilbao.frias@email.com,Cali,Colombia,2025-10-26
C016,Tristán de Fuertes,tristan.de.fuertes@email.com,Bogotá,Colombia,2023-08-14
C017,Gabino Vicente Torrents,gabino.vicente.torrents@email.com,Lima,Perú,2023-06-03
C018,Sara Badía Arce,sara.badia.arce@email.com,Ciudad de México,México,2024-12-14
C019,Benita Cruz Larrea,benita.cruz.larrea@email.com,Cochabamba,Bolivia,2024-09-24
C020,Darío Galan Comas,dario.galan.comas@email.com,Santa Cruz,Bolivia,2024-02-13
C021,Ulises Calzada-Checa,ulises.calzada-checa@email.com,Valparaíso,Chile,2023-12-03
C022,Alma Ferrán Arcos,alma.ferran.arcos@email.com,Córdoba,Argentina,2025-05-10
C023,Jacobo Calatayud Baró,jacobo.calatayud.baro@email.com,Córdoba,Argentina,2025-04-26
C024,Ciriaco Galan Camacho,ciriaco.galan.camacho@email.com,Santiago,Chile,2023-12-17
C025,Lisandro Goicoechea Cervera,lisandro.goicoechea.cervera@email.com,Cusco,Perú,2024-11-24
C026,Lucas Sanmartín Echevarría,lucas.sanmartin.echevarria@email.com,Cochabamba,Bolivia,2024-09-05
C027,Eva Corominas Mur,eva.corominas.mur@email.com,Santa Cruz,Bolivia,2024-09-30
C028,Marisela de Arteaga,marisela.de.arteaga@email.com,Valparaíso,Chile,2024-10-17
C029,Tiburcio Calleja Pou,tiburcio.calleja.pou@email.com,Santa Cruz,Bolivia,2024-03-14
C030,Ignacia Suárez Gimeno,ignacia.suarez.gimeno@email.com,Rosario,Argentina,2024-05-08
C031,Bernardino Vicente Chico,bernardino.vicente.chico@email.com,Guadalajara,México,2024-07-18
C032,Lázaro Cerezo-Torralba,lazaro.cerezo-torralba@email.com,Rosario,Argentina,2026-02-12
C033,Encarna Pujadas Bustamante,encarna.pujadas.bustamante@email.com,Valparaíso,Chile,2025-01-17
C034,Edelmira de Benito,edelmira.de.benito@email.com,Santiago,Chile,2023-09-20
C035,Albina Agudo Gallo,albina.agudo.gallo@email.com,La Paz,Bolivia,2026-01-26
C036,Miguel Ángel Alcaraz Vázquez,miguel.angel.alcaraz.vazquez@email.com,Santa Cruz,Bolivia,2023-12-29
C037,Luciano Guillén Ponce,luciano.guillen.ponce@email.com,Santa Cruz,Bolivia,2023-10-06
C038,Reynaldo Tello Barón,reynaldo.tello.baron@email.com,Santa Cruz,Bolivia,2026-03-19
C039,María José del Baeza,maria.jose.del.baeza@email.com,Buenos Aires,Argentina,2025-05-18
C040,Bernabé de Carbó,bernabe.de.carbo@email.com,Buenos Aires,Argentina,2023-09-16
C041,Trinidad Moll Parejo,trinidad.moll.parejo@email.com,Medellín,Colombia,2026-01-06
C042,Ale Arrieta Estévez,ale.arrieta.estevez@email.com,Buenos Aires,Argentina,2025-05-26
C043,Gervasio Giner Tapia,gervasio.giner.tapia@email.com,Monterrey,México,2023-10-03
C044,Javi Sanmartín Taboada,javi.sanmartin.taboada@email.com,Guadalajara,México,2024-12-16
C045,Eli Duque-Segovia,eli.duque-segovia@email.com,Cusco,Perú,2025-01-21
C046,Serafina Malo Antúnez,serafina.malo.antunez@email.com,Cochabamba,Bolivia,2024-06-08
C047,Ezequiel Matas Donaire,ezequiel.matas.donaire@email.com,Cochabamba,Bolivia,2024-05-14
C048,Godofredo Alfaro-Moles,godofredo.alfaro-moles@email.com,Arequipa,Perú,2025-04-19
C049,Jose Francisco Sosa Roman,jose.francisco.sosa.roman@email.com,Cochabamba,Bolivia,2024-01-30
C050,César Palmer Vergara,cesar.palmer.vergara@email.com,Guadalajara,México,2025-05-16
C051,Ulises Catalá Rocha,ulises.catala.rocha@email.com,La Paz,Bolivia,2025-02-28
C052,Pascuala Pujadas-Aragonés,pascuala.pujadas-aragones@email.com,Arequipa,Perú,2023-07-22
C053,Celestino Rincón Puig,celestino.rincon.puig@email.com,Cusco,Perú,2026-01-24
C054,Clementina Tamara Malo Egea,clementina.tamara.malo.egea@email.com,Rosario,Argentina,2024-12-04
C055,Yolanda Casal-Piquer,yolanda.casal-piquer@email.com,Bogotá,Colombia,2025-10-12
C056,Vanesa Cervantes,vanesa.cervantes@email.com,Cusco,Perú,2023-08-11
C057,Olimpia del Lasa,olimpia.del.lasa@email.com,Guadalajara,México,2023-07-29
C058,Purificación Marín Landa,purificacion.marin.landa@email.com,Rosario,Argentina,2023-10-24
C059,Luciana Nydia Alba Benet,luciana.nydia.alba.benet@email.com,Cali,Colombia,2024-10-12
C060,Lilia Lozano Arnau,lilia.lozano.arnau@email.com,Santa Cruz,Bolivia,2024-03-06
C061,Candelas Sánchez-Marín,candelas.sanchez-marin@email.com,Córdoba,Argentina,2024-12-25
C062,Fabián Armengol-Gonzalo,fabian.armengol-gonzalo@email.com,Bogotá,Colombia,2025-10-20
C063,Lupe Campo Casado,lupe.campo.casado@email.com,Córdoba,Argentina,2024-04-05
C064,Almudena Abril Plaza,almudena.abril.plaza@email.com,Rosario,Argentina,2024-03-23
C065,Nicodemo Moles Patiño,nicodemo.moles.patiño@email.com,Monterrey,México,2026-01-25
C066,Rufino Córdoba Figuerola,rufino.cordoba.figuerola@email.com,Cochabamba,Bolivia,2026-05-15
C067,Elisabet Andreu Portero,elisabet.andreu.portero@email.com,Buenos Aires,Argentina,2024-05-25
C068,Lina Alsina-Belmonte,lina.alsina-belmonte@email.com,Bogotá,Colombia,2025-04-15
C069,Nicolasa Porta Gascón,nicolasa.porta.gascon@email.com,Monterrey,México,2023-12-25
C070,Concha Goicoechea Benavent,concha.goicoechea.benavent@email.com,Ciudad de México,México,2023-10-09
C071,Fabricio Rios Anguita,fabricio.rios.anguita@email.com,Santiago,Chile,2023-11-04
C072,Tito del Garmendia,tito.del.garmendia@email.com,Santiago,Chile,2024-05-21
C073,Sandra Carretero,sandra.carretero@email.com,Guadalajara,México,2024-12-09
C074,Miguel Ángel de Anaya,miguel.angel.de.anaya@email.com,Monterrey,México,2024-03-29
C075,Rodolfo Mármol-Ramirez,rodolfo.marmol-ramirez@email.com,Córdoba,Argentina,2023-07-07
C076,Elodia Mascaró-Terrón,elodia.mascaro-terron@email.com,Ciudad de México,México,2024-01-09
C077,Rosa María Abril-Tena,rosa.maria.abril-tena@email.com,Valparaíso,Chile,2024-10-13
C078,Felicidad Arteaga Olivera,felicidad.arteaga.olivera@email.com,Ciudad de México,México,2024-05-31
C079,Flora Baena Belda,flora.baena.belda@email.com,La Paz,Bolivia,2025-09-29
C080,Víctor Gargallo,victor.gargallo@email.com,Ciudad de México,México,2024-05-11
C081,Adalberto Juárez Ricart,adalberto.juarez.ricart@email.com,Bogotá,Colombia,2025-03-26
C082,Adelina de Toledo,adelina.de.toledo@email.com,Valparaíso,Chile,2025-12-28
C083,Moisés Osorio Ariza,moises.osorio.ariza@email.com,Buenos Aires,Argentina,2023-12-20
C084,Toribio Ruperto Barrios Pellicer,toribio.ruperto.barrios.pellicer@email.com,Bogotá,Colombia,2024-03-12
C085,Ramón Benítez-Colom,ramon.benitez-colom@email.com,Monterrey,México,2026-03-05
C086,Flavia Vicente Plaza,flavia.vicente.plaza@email.com,Arequipa,Perú,2025-10-18
C087,Gustavo Serra Sarmiento,gustavo.serra.sarmiento@email.com,Rosario,Argentina,2025-12-05
C088,Olga Alcalá Duque,olga.alcala.duque@email.com,Córdoba,Argentina,2025-04-10
C089,José Antonio Agustí Abril,jose.antonio.agusti.abril@email.com,Cusco,Perú,2025-03-02
C090,Esther Cortés Mir,esther.cortes.mir@email.com,Concepción,Chile,2023-10-09
C091,Serafina María Cristina Trujillo Jove,serafina.maria.cristina.trujillo.jove@email.com,Córdoba,Argentina,2024-05-21
C092,Rogelio Diaz Coca,rogelio.diaz.coca@email.com,Santiago,Chile,2024-06-08
C093,Juliana Arellano Aramburu,juliana.arellano.aramburu@email.com,Santiago,Chile,2023-09-22
C094,Benjamín Plaza Cobo,benjamin.plaza.cobo@email.com,Cochabamba,Bolivia,2023-06-04
C095,Azahara Garcia Lamas,azahara.garcia.lamas@email.com,Valparaíso,Chile,2024-08-15
C096,Marisela Vidal Luís,marisela.vidal.luis@email.com,Arequipa,Perú,2024-08-27
C097,Jaime Huertas Marti,jaime.huertas.marti@email.com,Buenos Aires,Argentina,2024-12-27
C098,Anselmo Espejo Rico,anselmo.espejo.rico@email.com,Cusco,Perú,2026-03-15
C099,María Jesús López Larrañaga,maria.jesus.lopez.larrañaga@email.com,Arequipa,Perú,2023-12-19
C100,Adelaida Gutiérrez,adelaida.gutierrez@email.com,Córdoba,Argentina,2024-01-27
C101,Dorita Velasco Giner,dorita.velasco.giner@email.com,Santa Cruz,Bolivia,2025-07-25
C102,Viviana Valero-Ledesma,viviana.valero-ledesma@email.com,Buenos Aires,Argentina,2024-12-20
C103,Felicidad Figuerola Chaparro,felicidad.figuerola.chaparro@email.com,Cali,Colombia,2023-12-26
C104,América de Agudo,america.de.agudo@email.com,Ciudad de México,México,2025-10-28
C105,Estrella Vera Benito Mas,estrella.vera.benito.mas@email.com,Guadalajara,México,2025-12-01
C106,Modesta de Avilés,modesta.de.aviles@email.com,Concepción,Chile,2024-08-11
C107,Marc Morales,marc.morales@email.com,Concepción,Chile,2025-03-05
C108,Gloria Feijoo,gloria.feijoo@email.com,Santa Cruz,Bolivia,2024-11-11
C109,Cipriano Romeu-Herrero,cipriano.romeu-herrero@email.com,Arequipa,Perú,2025-07-20
C110,Sol Cuenca-Nuñez,sol.cuenca-nuñez@email.com,Valparaíso,Chile,2025-01-27
C111,Dora Ariza Valderrama,dora.ariza.valderrama@email.com,Arequipa,Perú,2023-08-16
C112,Anita Cámara Pelayo,anita.camara.pelayo@email.com,Valparaíso,Chile,2025-04-23
